time,id,g,e,m,b
129,97,0.0,A,0,1
129,98,0.0,A,0,1
129,99,1.0,a,1,0
129,100,0.0,A,0,0
130,1,0.0,a,0,0
130,2,0.0,A,0,0
130,3,0.0,A,0,1
130,4,0.0,A,0,0
130,5,0.0,A,0,1
130,6,0.010000000000000002,a,0,0
130,7,0.1,A,0,0
130,8,0.81,a,1,0
130,9,0.1,A,0,0
130,10,0.7259999999999999,A,0,0
130,11,0.0,a,0,1
130,12,0.0,A,0,0
130,13,0.006640952000000033,a,0,0
130,14,0.0,a,0,1
130,15,0.6801080000000004,A,0,0
130,16,0.0,A,0,0
130,17,0.010000000000000002,a,0,1
130,18,0.0,A,0,1
130,19,0.0,A,0,1
130,20,0.0,A,0,0
130,21,0.0,A,0,0
130,22,0.0,A,0,1
130,23,0.0,A,0,1
130,24,0.0,a,0,0
130,25,0.0,A,0,1
130,26,0.0,a,0,0
130,27,0.0,A,0,1
130,28,0.0,A,0,0
130,29,0.0,A,0,0
130,30,0.0,A,0,1
130,31,0.0,A,0,1
130,32,0.0,A,0,0
130,33,0.1,A,0,0
130,34,0.010000000000000002,a,0,1
130,35,0.1,A,0,0
130,36,0.9,a,1,0
130,37,0.0,a,0,0
130,38,0.0,A,0,1
130,39,0.0,A,0,1
130,40,0.010000000000000002,a,0,1
130,41,0.0,A,0,0
130,42,0.0,A,0,0
130,43,0.0,A,0,0
130,44,1.0,A,1,0
130,45,1.0,A,1,0
130,46,0.0,A,0,0
130,47,0.0,A,0,1
130,48,0.20000000000000004,A,0,0
130,49,0.0,A,0,0
130,50,0.0,a,0,1
130,51,0.0,a,0,1
130,52,0.011000000000000003,a,0,0
130,53,0.0,A,0,1
130,54,0.0,A,0,1
130,55,0.11000000000000001,A,0,1
130,56,0.0,A,0,1
130,57,0.010000000000000002,a,0,1
130,58,0.0,a,0,0
130,59,0.30000000000000004,A,0,0
130,60,0.0,a,0,1
130,61,0.0,A,0,1
130,62,0.0,A,0,1
130,63,0.022000000000000006,a,0,1
130,64,0.0,a,0,1
130,65,0.0,a,0,1
130,66,0.0,A,0,0
130,67,0.0,A,0,0
130,68,0.0,A,0,1
130,69,0.0,a,0,1
130,70,0.010000000000000002,a,0,1
130,71,0.010000000000000002,a,0,1
130,72,0.0,A,0,1
130,73,0.0,A,0,0
130,74,0.0,a,0,1
130,75,0.0,A,0,0
130,76,0.0,A,0,0
130,77,0.0,A,0,1
130,78,0.010000000000000002,a,0,0
130,79,0.0,A,0,1
130,80,0.0,a,0,0
130,81,0.0,A,0,0
130,82,0.0,A,0,0
130,83,0.11000000000000001,A,0,0
130,84,0.0,A,0,1
130,85,0.0,A,0,1
130,86,0.0,A,0,1
130,87,0.0,A,0,0
130,88,0.21000000000000002,A,0,0
130,89,0.1,A,0,0
130,90,0.0,A,0,0
130,91,0.0,A,0,0
130,92,0.0,A,0,1
130,93,0.0,a,0,1
130,94,0.1,A,0,1
130,95,0.0,A,0,1
130,96,0.0,A,0,1
130,97,0.0,A,0,1
130,98,0.0,A,0,1
130,99,1.0,a,1,0
130,100,0.0,A,0,0
131,1,0.010000000000000002,a,0,0
131,2,0.0,A,0,0
131,3,0.0,A,0,1
131,4,0.0,A,0,0
131,5,0.1,A,0,1
131,6,0.0,a,0,0
131,7,0.0,A,0,0
131,8,0.9020000000000001,a,1,0
131,9,0.2,A,0,0
131,10,0.8259999999999998,A,1,0
131,11,0.0,a,0,1
131,12,0.0,A,0,0
131,13,0.016640952000000035,a,0,0
131,14,0.0,a,0,1
131,15,0.5801080000000004,A,0,0
131,16,0.1,A,0,0
131,17,0.0,a,0,1
131,18,0.0,A,0,1
131,19,0.0,A,0,1
131,20,0.0,A,0,0
131,21,0.0,A,0,0
131,22,0.0,A,0,1
131,23,0.0,A,0,1
131,24,0.0,a,0,0
131,25,0.0,A,0,1
131,26,0.0,a,0,0
131,27,0.0,A,0,1
131,28,0.0,A,0,0
131,29,0.0,A,0,0
131,30,0.0,A,0,1
131,31,0.0,A,0,1
131,32,0.0,A,0,0
131,33,0.2,A,0,0
131,34,0.0,a,0,1
131,35,0.0,A,0,0
131,36,1.0,a,1,0
131,37,0.010000000000000002,a,0,0
131,38,0.0,A,0,1
131,39,0.0,A,0,1
131,40,0.0,a,0,1
131,41,0.0,A,0,0
131,42,0.0,A,0,0
131,43,0.0,A,0,0
131,44,1.0,A,1,0
131,45,1.0,A,1,0
131,46,0.0,A,0,0
131,47,0.0,A,0,1
131,48,0.0,A,0,0
131,49,0.0,A,0,0
131,50,0.010000000000000002,a,0,1
131,51,0.0,a,0,1
131,52,0.022100000000000005,a,0,0
131,53,0.0,A,0,1
131,54,0.0,A,0,1
131,55,0.11000000000000001,A,0,1
131,56,0.1,A,0,1
131,57,0.0,a,0,1
131,58,0.010000000000000002,a,0,0
131,59,0.12000000000000002,A,0,0
131,60,0.0,a,0,1
131,61,0.0,A,0,1
131,62,0.0,A,0,1
131,63,0.0,a,0,1
131,64,0.010000000000000002,a,0,1
131,65,0.0,a,0,1
131,66,0.0,A,0,0
131,67,0.0,A,0,0
131,68,0.0,A,0,1
131,69,0.0,a,0,1
131,70,0.0,a,0,1
131,71,0.0,a,0,1
131,72,0.0,A,0,1
131,73,0.010000000000000009,A,0,0
131,74,0.0,a,0,1
131,75,0.0,A,0,0
131,76,0.0,A,0,0
131,77,0.0,A,0,1
131,78,0.0,a,0,0
131,79,0.0,A,0,1
131,80,0.011000000000000003,a,0,0
131,81,0.0,A,0,0
131,82,0.0,A,0,0
131,83,0.21000000000000002,A,0,0
131,84,0.0,A,0,1
131,85,0.0,A,0,1
131,86,0.0,A,0,1
131,87,0.0,A,0,0
131,88,0.23100000000000004,A,0,0
131,89,0.0,A,0,0
131,90,0.0,A,0,0
131,91,0.0,A,0,0
131,92,0.0,A,0,1
131,93,0.0,a,0,1
131,94,0.1,A,0,1
131,95,0.0,A,0,1
131,96,0.0,A,0,1
131,97,0.0,A,0,1
131,98,0.0,A,0,1
131,99,0.9,a,1,0
131,100,0.0,A,0,0
132,1,0.020000000000000004,a,0,0
132,2,0.1,A,0,0
132,3,0.1,A,0,1
132,4,0.0,A,0,0
132,5,0.0,A,0,1
132,6,0.010000000000000002,a,0,0
132,7,0.0,A,0,0
132,8,0.7922000000000002,a,1,0
132,9,0.0,A,0,0
132,10,0.7259999999999999,A,0,0
132,11,0.0,a,0,1
132,12,0.0,A,0,0
132,13,0.0,a,0,0
132,14,0.0,a,0,1
132,15,0.4801080000000004,A,0,0
132,16,0.0,A,0,0
132,17,0.010000000000000002,a,0,1
132,18,0.0,A,0,1
132,19,0.0,A,0,1
132,20,0.0,A,0,0
132,21,0.1,A,0,0
132,22,0.0,A,0,1
